file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00629_0357_2515481_to_2518489,དཔལ་འབྱོར་ཅིག་དང་། ཁེ་བཟང་ཅིག་དང་། ད་དེ་འདྲས་ལ་ཆགས་ནས།  ,dpal 'byor cig dang /_khe bzang cig dang /_da de 'dras la chags nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00629_0357_2515481_to_2518489.wav,STT_TT,3,56,3.008,wav16k/STT_TT00629_0357_2515481_to_2518489.wav,དཔལ་འབྱོར་ཅིག་དང་། ཁེ་བཟང་ཅིག་དང་། ད་དེ་འགྲོ་ལ་ཆགས་ནས།
STT_TT00631_0027_200444_to_202876,རྒྱ་མཚོ་ཡི། ཕ་རོལ་ཕྱིན་པ་རྒྱལ་བའི་དབང་པོ་མཛོད། ཟེ།  ,rgya mtsho yi/_pha rol phyin pa rgyal ba'i dbang po mdzod/_ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00631_0027_200444_to_202876.wav,STT_TT,3,52,2.432,wav16k/STT_TT00631_0027_200444_to_202876.wav,རྒྱ་མཚོ་ཡིས། ཕ་རོལ་ཕྱིན་པ་རྒྱལ་བའི་དབང་པོ་མཛོད།ཟེ།
STT_TT00220_00588.500-00590.400,ཕ་གི་ནང་ལ་གཞས་དང་འཁྲབ་ཡ་དེ་གས་བསམ་བློ་བཏང་།  ,pha gi nang la gzhas dang 'khrab ya de gas bsam blo btang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00220_00588.500-00590.400.wav,STT_TT,3,45,1.8999999999999773,wav16k/STT_TT00220_00588.500-00590.400.wav,ཕ་གི་ནང་གི་གཞས་དང་འཁྲབ་ཡ་འདེ་གས་བསམ་བློ་བཏང་།
STT_CS-L-2017_2017-P_P-D_D-B03_B01-2_2-R_R-01_0080_669589_to_673025,མདུན་ལ་བླུག་དེར་དཔལ་ལྡན། ཨེ་འདྲའི་དེ་ ,mdun la blug der dpal ldan/_e 'dra'i de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B03_B01-2_2-R_R-01_0080_669589_to_673025.wav,STT_CS,3,38,3.436,wav16k/STT_CS-L-2017_2017-P_P-D_D-B03_B01-2_2-R_R-01_0080_669589_to_673025.wav,མང་ལ་འགོ་་་། འདི་གློག་བསད་མ་འདུན། ཨེ་འདྲའ་དེ།
STT_NS0210_0055_987141_to_991578,སྤྱིར་བཏང་ལོ་གསར་ཕལ་ཆེ་བ་གཅིག་ང་ཚོ་བོད་ཀི་ལོ་གསར་འདྲ་བོ་གཅིག་ཡིན་ན་ཕལ་ཆེ་བ་གཅིག་སྤྱི་ཟླ་གཉིས་པའི་ནང་ལོགས་འཁེལ་གི་འདུག་ཡོད་བ།  ,spyir btang lo gsar phal che ba gcig nga tsho bod ki lo gsar 'dra bo gcig yin na phal che ba gcig spyi zla gnyis pa'i nang logs 'khel gi 'dug yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0210_0055_987141_to_991578.wav,STT_NS,3,126,4.437,wav16k/STT_NS0210_0055_987141_to_991578.wav,སྤྱིར་བཏང་ལོ་གསར་ཕལ་ཆེ་བ་ཅིག་ང་ཚོ་བོད་ཀི་ལོ་གསར་འདྲ་བོ་ཅིག་ཡིན་ན་ཕལ་ཆེ་བ་ཅིག་སྤྱི་ཟླ་གཉིས་པ་ནང་ལོགས་འཁེལ་གི་འདུག་ཡོད་བ།
STT_CS-L-2018_2018-M_M-D_D-B04_B04-1_1-R_R-02_0053_362506_to_366012,ཁོང་ཚོ། ཁོང་ཚོའི་མཉམ་དུ། ཁོང་ཚོ་མཉམ་དུ་ཡོད་རེད། ཨོ།  ,khong tsho/_khong tsho'i mnyam du/_khong tsho mnyam du yod red/_o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2018_2018-M_M-D_D-B04_B04-1_1-R_R-02_0053_362506_to_366012.wav,STT_CS,3,53,3.506,wav16k/STT_CS-L-2018_2018-M_M-D_D-B04_B04-1_1-R_R-02_0053_362506_to_366012.wav,དེ དི་མཉམ་དུ། ཁོང་ཚོ་མཉམ་དུ་ཡོད་རེད།
STT_CS-X-2016-P-D-B06-3-R-01_0036_246322_to_254752,ཡ་ཨ་ཅག་རྔན་པ་བཞི། དངོས་གནས། ཡ། ཏོག་ཙི་སྒུག་ཨ། ཨ་ཅག ཡ།  ,ya a cag rngan pa bzhi/_dngos gnas/_ya/_tog tsi sgug a/_a cag_ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2016-P-D-B06-3-R-01_0036_246322_to_254752.wav,STT_CS,3,55,8.43,wav16k/STT_CS-X-2016-P-D-B06-3-R-01_0036_246322_to_254752.wav,ཡ་ཨ་ཅག་རྔན་པ་བྱས། དངོས་གནས། ཨོ། ཉ།། ཨ་ཅག ཡ།
STT_TT00045_00645.150-00646.850,ཡང་ཕར། རྒྱལ་བའི་བཀའ།  ,yang phar/_rgyal ba'i bka'/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00045_00645.150-00646.850.wav,STT_TT,3,22,1.7000000000000457,wav16k/STT_TT00045_00645.150-00646.850.wav,ཡང་ཕར་རྒྱལ་བའི་བཀའ།
STT_CS-L-2011_2010-P_P-D_D-B04_B04-5_5-R_R-01_0157_1423421_to_1426732,ངའི་གྲོགས་པོ་ཡོད་ཙང་མིའི་མིང་བཏོན་ཡིན་ཟེར།  ,nga'i grogs po yod tsang mi'i ming bton yin zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2011_2010-P_P-D_D-B04_B04-5_5-R_R-01_0157_1423421_to_1426732.wav,STT_CS,3,44,3.311,wav16k/STT_CS-L-2011_2010-P_P-D_D-B04_B04-5_5-R_R-01_0157_1423421_to_1426732.wav,ངའི་གྲོགས་པོ་ཡོད་ཙང་མིའི་མིང་བྟོན་ཡིན་ཟེར།
STT_CS-L-2013_2013-M_M-D_D-B05_B07-5_4-R_R-01_0191_1466936_to_1470452,ད་སུ་ཐོབ་མདོག་ཁ་པོ་འདུག། ཊི་སི་ཧྦི་ཐོབ་མདོག་ཁ་པོ་འདུག་གེ། ཊི་སི་ཧྦི་ ,da su thob mdog kha po 'dug/_Ti si h+bi thob mdog kha po 'dug ge/_Ti si h+bi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-M_M-D_D-B05_B07-5_4-R_R-01_0191_1466936_to_1470452.wav,STT_CS,3,69,3.516,wav16k/STT_CS-L-2013_2013-M_M-D_D-B05_B07-5_4-R_R-01_0191_1466936_to_1470452.wav,ད་སུར་ཐོབ་མདོག་ཁ་བོ་ཡོད། ཙི་སི་བྷི་ཐོབ་མདོག་ཁ་བོ་འདུག་གེ ཋི་སི་བྦི།
